#Initial Pressure (torr), Initial Pressure (kPa), Cell Width (mm)
105.289, 14.03737885, 23.3572
101.732, 13.56315118, 12.524
148.469, 19.79423872, 8.55718
148.469, 19.79423872, 6.95193
285.246, 38.0296723, 3.47819
402.23, 53.62625625, 2.06914
477.641, 63.68022938, 3.99488
587.023, 78.26329668, 3.02833
567.191, 75.61924747, 1.31917
673.53, 89.7966148, 2.29563
