#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.201, 20.3, 11.8
0.243, 24.6, 5.8
0.3, 30.4, 6.38
0.345, 35.0, 5.33
0.397, 40.2, 4.45
0.496, 50.3, 2.94
0.595, 60.3, 2.38
0.684, 69.3, 1.99
0.856, 86.7, 1.71
0.984, 99.7, 1.39
1.23, 125.0, 1.22
1.46, 147.0, 0.98
1.7, 172.0, 0.876
1.65, 167.0, 0.796
1.9, 192.0, 0.742
2.25, 228.0, 0.645
2.93, 297.0, 0.438
3.14, 318.0, 0.438
3.61, 366.0, 0.402
3.82, 387.0, 0.375
4.28, 433.0, 0.402
4.4, 446.0, 0.449
4.85, 491.0, 0.296
5.13, 519.0, 0.3
5.05, 512.0, 0.288
6.06, 613.0, 0.212
6.06, 614.0, 0.225
7.17, 726.0, 0.209
7.06, 716.0, 0.187
7.47, 757.0, 0.185
7.36, 746.0, 0.17
8.01, 811.0, 0.159
8.84, 895.0, 0.161
9.08, 920.0, 0.142
10.0, 1020.0, 0.144
12.2, 1230.0, 0.109
