#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.1985, 20.10805, 7.6828
0.1854, 18.78102, 9.2731
0.1717, 17.39321, 10.2757
0.1577, 15.97501, 11.0986
0.1448, 14.66824, 12.194
0.1296, 13.12848, 13.629
0.115, 11.6495, 14.9749
0.0905, 9.16765, 20.5514
0.0777, 7.87101, 26.1135
0.0638, 6.46294, 37.722
0.0516, 5.22708, 46.3235
