#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.801, 81.1413, 0.9968
0.8036, 81.40468, 1.1956
0.8062, 81.66806, 1.2471
0.6437, 65.20681, 1.5007
0.5009, 50.74117, 1.9972
0.2509, 25.41617, 3.9759
0.2517, 25.49721, 4.5274
0.2533, 25.65929, 4.9263
0.2517, 25.49721, 4.9908
0.2009, 20.35117, 5.9862
0.2009, 20.35117, 6.4295
