#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.2517, 25.49721, 6.9507
0.3023, 30.62299, 5.9668
0.3004, 30.43052, 4.9908
0.4012, 40.64156, 3.9759
0.5025, 50.90325, 2.9779
0.6416, 64.99408, 2.1944
0.6457, 65.40941, 1.9972
0.8036, 81.40468, 1.6923
1.0, 101.3, 1.3526
1.0, 101.3, 1.1956
