#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.1327, 13.44251, 1.9477
0.1047, 10.60611, 2.3429
0.093, 9.4209, 2.6068
0.093, 9.4209, 2.4264
0.079, 8.0027, 3.2521
0.0784, 7.94192, 2.9624
0.0596, 6.03748, 3.9959
0.0529, 5.35877, 4.7765
0.0529, 5.35877, 5.1317
0.0491, 4.97383, 5.4319
0.0463, 4.69019, 6.5898
0.0393, 3.98109, 8.7692
