#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.7988, 80.91844, 0.9156
0.7987, 80.90831, 0.9964
0.4994, 50.58922, 1.5447
0.4994, 50.58922, 1.6539
0.4013, 40.65169, 1.9966
0.4013, 40.65169, 2.1869
0.3014, 30.53182, 3.1983
0.3014, 30.53182, 3.0066
0.2009, 20.35117, 5.2745
0.2016, 20.42208, 4.9746
0.2023, 20.49299, 4.7532
